word	sentiment	lexicon
chivalry	positive	nrc
chloroform	negative	nrc
chocolate	positive	nrc
choice	positive	nrc
choir	positive	nrc
choke	negative	nrc
cholera	negative	nrc
chop	negative	nrc
choral	positive	nrc
chore	negative	nrc
chorus	positive	nrc
chosen	positive	nrc
chowder	positive	nrc
chronic	negative	nrc
chronicle	positive	nrc
chuckle	positive	nrc
church	positive	nrc
cider	positive	nrc
cigarette	negative	nrc
circumcision	positive	nrc
circumvention	negative	nrc
circumvention	positive	nrc
citizen	positive	nrc
civil	positive	nrc
civility	positive	nrc
civilization	positive	nrc
civilized	positive	nrc
clairvoyant	positive	nrc
clamor	negative	nrc
clap	positive	nrc
clarify	positive	nrc
clash	negative	nrc
clashing	negative	nrc
classic	positive	nrc
classical	positive	nrc
classics	positive	nrc
classify	positive	nrc
claw	negative	nrc
clean	positive	nrc
cleaning	positive	nrc
cleanliness	positive	nrc
cleanly	positive	nrc
cleanse	positive	nrc
cleansing	positive	nrc
clearance	positive	nrc
clearness	positive	nrc
clerical	positive	nrc
clever	positive	nrc
cleverness	positive	nrc
climax	positive	nrc
cloister	negative	nrc
closeness	positive	nrc
closure	positive	nrc
clothe	positive	nrc
clouded	negative	nrc
cloudiness	negative	nrc
clown	positive	nrc
clump	negative	nrc
clumsy	negative	nrc
coalition	positive	nrc
coast	positive	nrc
cocaine	negative	nrc
coerce	negative	nrc
coercion	negative	nrc
coexist	positive	nrc
coffin	negative	nrc
cogent	positive	nrc
cognitive	positive	nrc
coherence	positive	nrc
coherent	positive	nrc
cohesive	positive	nrc
cold	negative	nrc
coldly	negative	nrc
coldness	negative	nrc
colic	negative	nrc
collapse	negative	nrc
collectively	positive	nrc
collision	negative	nrc
collusion	negative	nrc
colonel	positive	nrc
colossal	positive	nrc
coma	negative	nrc
comatose	negative	nrc
combat	negative	nrc
combatant	negative	nrc
combative	negative	nrc
comfort	positive	nrc
commandant	positive	nrc
commanding	positive	nrc
commemorate	positive	nrc
commemoration	positive	nrc
commemorative	positive	nrc
commend	positive	nrc
commendable	positive	nrc
commentator	positive	nrc
committal	negative	nrc
committed	positive	nrc
commodore	positive	nrc
commonwealth	positive	nrc
commotion	negative	nrc
communicate	positive	nrc
communicative	positive	nrc
communion	positive	nrc
communism	negative	nrc
communist	negative	nrc
community	positive	nrc
commutation	positive	nrc
commute	positive	nrc
companion	positive	nrc
compassion	positive	nrc
compassionate	positive	nrc
compatibility	positive	nrc
compatible	positive	nrc
compelling	positive	nrc
compensate	positive	nrc
compensatory	positive	nrc
competence	positive	nrc
competency	positive	nrc
competent	positive	nrc
competition	negative	nrc
complacency	positive	nrc
complain	negative	nrc
complaint	negative	nrc
complement	positive	nrc
complementary	positive	nrc
completely	positive	nrc
completeness	positive	nrc
completing	positive	nrc
completion	positive	nrc
complexed	negative	nrc
complexity	negative	nrc
compliance	positive	nrc
compliant	positive	nrc
complicate	negative	nrc
complicated	negative	nrc
complication	negative	nrc
complicity	negative	nrc
complicity	positive	nrc
compliment	positive	nrc
composed	positive	nrc
composer	positive	nrc
compost	negative	nrc
composure	positive	nrc
comprehend	positive	nrc
comprehensive	positive	nrc
compulsion	negative	nrc
compulsory	negative	nrc
comrade	positive	nrc
conceal	negative	nrc
concealed	negative	nrc
concealment	negative	nrc
conceit	negative	nrc
conceited	negative	nrc
concentric	positive	nrc
conciliation	positive	nrc
concluding	positive	nrc
concord	positive	nrc
concordance	positive	nrc
concussion	negative	nrc
condemn	negative	nrc
condemnation	negative	nrc
condescending	negative	nrc
condescension	negative	nrc
condolence	positive	nrc
condone	positive	nrc
conducive	positive	nrc
conductivity	positive	nrc
confederate	positive	nrc
confess	negative	nrc
confess	positive	nrc
confession	negative	nrc
confidence	positive	nrc
confident	positive	nrc
confine	negative	nrc
confined	negative	nrc
confinement	negative	nrc
confirmed	positive	nrc
confiscate	negative	nrc
confiscation	negative	nrc
